name,reference,description,price,brand,category,collection,color,size,stock,sku,materials,careInstructions,madeIn
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",29,1,"L100001-V09A-29","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",30,1,"L100001-V09A-30","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",31,1,"L100001-V09A-31","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",32,1,"L100001-V09A-32","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",33,1,"L100001-V09A-33","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",34,1,"L100001-V09A-34","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",35,1,"L100001-V09A-35","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",36,1,"L100001-V09A-36","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",37,1,"L100001-V09A-37","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",38,1,"L100001-V09A-38","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",39,1,"L100001-V09A-39","","",""
"Stone Island Bermuda L100001/V09A","L100001/V09A","",141,"Stone Island","bermuda","SS2026","Uni",40,1,"L100001-V09A-40","","",""
"Stone Island Bermuda L100020/V05G","L100020/V05G","",107,"Stone Island","bermuda","SS2026","Uni",30,1,"L100020-V05G-30","","",""
"Stone Island Cardigan","6100014/V29","",184,"Stone Island","cardigan","SS2026","Uni",L,1,"6100014-V29-L","","",""
"Stone Island Cardigan","2200010/V05G","",111,"Stone Island","cardigan","SS2026","Uni",M,1,"2200010-V05G-M","","",""
"Stone Island Cardigan","2200010/V1001","",68,"Stone Island","cardigan","SS2026","Uni",XXL,1,"2200010-V1001-XXL","","",""
"Stone Island Jogging molleton","2200010/V05G","",111,"Stone Island","jogging molleton","SS2026","Uni",M,1,"2200010-V05G-M-J","","",""
"Stone Island Polo mc","2200010/V1001","",68,"Stone Island","polo mc","SS2026","Uni",XXL,1,"2200010-V1001-XXL-P","","",""
