name;reference;brand;category;collection;stock;price
Autry Bermuda;SHPM/079Y L;autry;bermuda;SS26;2;100
Autry Bermuda;SHPM/079Y M;autry;bermuda;SS26;2;100
Autry Bermuda;SHPM/079Y S;autry;bermuda;SS26;2;100
Autry Sweat;SWPX/036W L;autry;sweat;SS26;2;100
Autry Sweat;SWPX/036W M;autry;sweat;SS26;2;100
Autry Sweat;SWPX/036W S;autry;sweat;SS26;2;100
Autry Sweat;SWPX/036W XL;autry;sweat;SS26;2;100
Autry Basket;AULM/BH02 39;autry;basket;SS26;2;100
Autry Basket;AULM/BH02 40;autry;basket;SS26;2;100
Autry Basket;AULM/BH02 41;autry;basket;SS26;2;100
Autry Basket;AULM/BH02 42;autry;basket;SS26;2;100
Autry Basket;AULM/BH02 43;autry;basket;SS26;2;100
Autry Basket;AULM/BH02 44;autry;basket;SS26;2;100
Autry Basket;AULM/BH02 45;autry;basket;SS26;2;100
Autry Basket;AULM/BH02 46;autry;basket;SS26;2;100
Autry Basket;AULM/BW02 41;autry;basket;SS26;2;100
Autry Basket;AULM/BW02 42;autry;basket;SS26;2;100
Autry Basket;AULM/BW02 43;autry;basket;SS26;2;100
Autry Basket;AULM/BW04 41;autry;basket;SS26;2;100
Autry Basket;AULM/BW04 42;autry;basket;SS26;2;100
Autry Basket;AULM/BW04 43;autry;basket;SS26;2;100
Autry Basket;AULM/BW04 44;autry;basket;SS26;2;100
Autry Basket;AULM/LS12 41;autry;basket;SS26;2;100
Autry Basket;AULM/LS12 42;autry;basket;SS26;2;100
Autry Basket;AULM/LS12 43;autry;basket;SS26;2;100
Autry Basket;AULM/LS12 44;autry;basket;SS26;2;100
Autry Basket;AULM/LS14 42;autry;basket;SS26;2;100
Autry Basket;AULM/LS14 43;autry;basket;SS26;2;100
Autry Basket;AULM/LS21 40;autry;basket;SS26;2;100
Autry Basket;AULM/LS21 41;autry;basket;SS26;2;100
Autry Basket;AULM/LS21 42;autry;basket;SS26;2;100
Autry Basket;AULM/LS21 43;autry;basket;SS26;2;100
Autry Basket;AULM/LS21 44;autry;basket;SS26;2;100
Autry Basket;AULM/LS23/2 39;autry;basket;SS26;2;100
Autry Basket;AULM/LS23/2 40;autry;basket;SS26;2;100
Autry Basket;AULM/LS23/2 41;autry;basket;SS26;2;100
