reference;name;price;sku;size;color;stock
I024898/0102;Carhartt Pantalon;100.00;I024898-0102-29;29;Uni;2
I024898/0102;Carhartt Pantalon;100.00;I024898-0102-30;30;Uni;2
I024898/0102;Carhartt Pantalon;100.00;I024898-0102-31;31;Uni;2
I024898/0102;Carhartt Pantalon;100.00;I024898-0102-32;32;Uni;2
I024898/0102;Carhartt Pantalon;100.00;I024898-0102-33;33;Uni;2
I024898/0102;Carhartt Pantalon;100.00;I024898-0102-34;34;Uni;2
I024898/0102;Carhartt Pantalon;100.00;I024898-0102-36;36;Uni;2
I026391/3LR;Carhartt Tee shirt;100.00;I026391-3LR-L;L;Uni;2
I026391/3LR;Carhartt Tee shirt;100.00;I026391-3LR-M;M;Uni;2
I026391/3LR;Carhartt Tee shirt;100.00;I026391-3LR-S;S;Uni;2
I026391/3LR;Carhartt Tee shirt;100.00;I026391-3LR-XL;XL;Uni;2
I026391/3LR;Carhartt Tee shirt;100.00;I026391-3LR-XS;XS;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-28;28;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-29;29;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-30;30;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-31;31;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-32;32;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-33;33;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-34;34;Uni;2
I029208/0112;Carhartt Pantalon;100.00;I029208-0112-36;36;Uni;2
I029919/11;Carhartt Pantalon;100.00;I029919-11-L;L;Uni;2
I029919/11;Carhartt Pantalon;100.00;I029919-11-M;M;Uni;2
I029919/11;Carhartt Pantalon;100.00;I029919-11-S;S;Uni;2
I029919/11;Carhartt Pantalon;100.00;I029919-11-XL;XL;Uni;2
I029919/11;Carhartt Pantalon;100.00;I029919-11-XS;XS;Uni;2
I029919/3IT;Carhartt Pantalon;100.00;I029919-3IT-L;L;Uni;2
I029919/3IT;Carhartt Pantalon;100.00;I029919-3IT-M;M;Uni;2
I029919/3IT;Carhartt Pantalon;100.00;I029919-3IT-S;S;Uni;2
I029919/3IT;Carhartt Pantalon;100.00;I029919-3IT-XL;XL;Uni;2
I029919/3IT;Carhartt Pantalon;100.00;I029919-3IT-XS;XS;Uni;2
I029949/3HX;Carhartt Tee shirt;100.00;I029949-3HX-L;L;Uni;2
I029949/3HX;Carhartt Tee shirt;100.00;I029949-3HX-M;M;Uni;2
I029949/3HX;Carhartt Tee shirt;100.00;I029949-3HX-S;S;Uni;2
I029949/3HX;Carhartt Tee shirt;100.00;I029949-3HX-XL;XL;Uni;2
I029949/3HX;Carhartt Tee shirt;100.00;I029949-3HX-XS;XS;Uni;2
I029949/3IE;Carhartt Tee shirt;100.00;I029949-3IE-L;L;Uni;2
I029949/3IE;Carhartt Tee shirt;100.00;I029949-3IE-M;M;Uni;2
I029949/3IE;Carhartt Tee shirt;100.00;I029949-3IE-S;S;Uni;2
I029949/3IE;Carhartt Tee shirt;100.00;I029949-3IE-XL;XL;Uni;2
I029949/3IE;Carhartt Tee shirt;100.00;I029949-3IE-XS;XS;Uni;2
I029963/3HX;CARHARTT sweat;100.00;I029963-3HX-L;L;Uni;2
I029963/3HX;CARHARTT sweat;100.00;I029963-3HX-M;M;Uni;2
I029963/3HX;CARHARTT sweat;100.00;I029963-3HX-S;S;Uni;2
I029963/89;CARHARTT sweat;100.00;I029963-89-L;L;Uni;2
I029963/89;CARHARTT sweat;100.00;I029963-89-M;M;Uni;2
I029963/89;CARHARTT sweat;100.00;I029963-89-S;S;Uni;2
I030130/3HX;CARHARTT bermuda molleton;100.00;I030130-3HX-L;L;Uni;2
I030130/3HX;CARHARTT bermuda molleton;100.00;I030130-3HX-M;M;Uni;2
I030130/3HX;CARHARTT bermuda molleton;100.00;I030130-3HX-S;S;Uni;2
I030130/3IE;CARHARTT bermuda molleton;100.00;I030130-3IE-L;L;Uni;2
