cod_article;name;reference;brand;category;collection;stock;price;color
;Back Poster T-Shirt;099T/BLACK L;arte;tee shirt;SS26;1;65;Black
;Back Poster T-Shirt;099T/BLACK M;arte;tee shirt;SS26;1;65;Black
;Back Poster T-Shirt;099T/BLACK S;arte;tee shirt;SS26;1;65;Black
;Back Poster T-Shirt;099T/BLACK XL;arte;tee shirt;SS26;1;65;Black
;Back Poster T-Shirt;099T/BLACK XXL;arte;tee shirt;SS26;1;65;Black
;Back Poster T-Shirt;099T/WHITE L;arte;tee shirt;SS26;1;65;White
;Back Poster T-Shirt;099T/WHITE M;arte;tee shirt;SS26;1;65;White
;Back Poster T-Shirt;099T/WHITE S;arte;tee shirt;SS26;1;65;White
;Back Poster T-Shirt;099T/WHITE XL;arte;tee shirt;SS26;1;65;White
;Back Poster T-Shirt;099T/WHITE XXL;arte;tee shirt;SS26;1;65;White
;Back Collage T-Shirt;100T/26/WHITE L;arte;tee shirt;SS26;1;65;White
;Back Collage T-Shirt;100T/26/WHITE M;arte;tee shirt;SS26;1;65;White
;Back Collage T-Shirt;100T/26/WHITE S;arte;tee shirt;SS26;1;65;White
;Blurry Back Print T-Shirt;101T/BLUE L;arte;tee shirt;SS26;1;65;Blue
;Blurry Back Print T-Shirt;101T/BLUE M;arte;tee shirt;SS26;1;65;Blue
;Blurry Back Print T-Shirt;101T/BLUE S;arte;tee shirt;SS26;1;65;Blue
;SS26 Back T-Shirt;103T/BLACK S;arte;tee shirt;SS26;1;65;Black
;SS26 Back T-Shirt;103T/BLACK M;arte;tee shirt;SS26;1;65;Black
;SS26 Back T-Shirt;103T/BLACK L;arte;tee shirt;SS26;1;65;Black
;SS26 Back T-Shirt;103T/BLACK XL;arte;tee shirt;SS26;1;65;Black
;SS26 Back T-Shirt;103T/BLACK XXL;arte;tee shirt;SS26;1;65;Black
;Big Logo Back T-Shirt;141T/WHITE L;arte;tee shirt;SS26;1;65;White
;Big Logo Back T-Shirt;141T/WHITE M;arte;tee shirt;SS26;1;65;White
;Big Logo Back T-Shirt;141T/WHITE S;arte;tee shirt;SS26;1;65;White
;Big Logo Back T-Shirt;141T/WHITE XL;arte;tee shirt;SS26;1;65;White
;Back Graphic T-Shirt;143T/26/WHITE L;arte;tee shirt;SS26;1;65;White
;Back Graphic T-Shirt;143T/26/WHITE M;arte;tee shirt;SS26;1;65;White
;Back Graphic T-Shirt;143T/26/WHITE XS;arte;tee shirt;SS26;1;65;White
;Circle Logo Pocket Pants;171P/BLEACH 30;arte;jean;SS26;1;140;Bleach
;Circle Logo Pocket Pants;171P/BLEACH 32;arte;jean;SS26;1;140;Bleach
;Circle Logo Pocket Pants;171P/BLEACH 34;arte;jean;SS26;1;140;Bleach
;Shiny Nylon Jacket;231J/BLACK L;arte;coupe vent;SS26;1;145;Black
;Shiny Nylon Jacket;231J/BLACK M;arte;coupe vent;SS26;1;145;Black
;Shiny Nylon Jacket;231J/BLACK S;arte;coupe vent;SS26;1;145;Black
;Shiny Nylon Jacket;231J/GREEN L;arte;coupe vent;SS26;1;145;Green
;Shiny Nylon Jacket;231J/GREEN M;arte;coupe vent;SS26;1;145;Green
;Shiny Nylon Jacket;231J/GREEN S;arte;coupe vent;SS26;1;145;Green
