cod_article;name;reference;brand;category;collection;stock;price;color
;Bermuda;SHPM/079Y L;autry;bermuda;SS26;2;100;Olive/White/Black
;Bermuda;SHPM/079Y M;autry;bermuda;SS26;2;100;Olive/White/Black
;Bermuda;SHPM/079Y S;autry;bermuda;SS26;2;100;Olive/White/Black
;Crewneck Sweatshirt;SWPX/036W L;autry;sweat;SS26;2;100;White/Navy
;Crewneck Sweatshirt;SWPX/036W M;autry;sweat;SS26;2;100;White/Navy
;Crewneck Sweatshirt;SWPX/036W S;autry;sweat;SS26;2;100;White/Navy
;Crewneck Sweatshirt;SWPX/036W XL;autry;sweat;SS26;2;100;White/Navy
;Medalist Low;AULM/BH02 39;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BH02 40;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BH02 41;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BH02 42;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BH02 43;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BH02 44;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BH02 45;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BH02 46;autry;basket;SS26;2;100;White/Black
;Medalist Low;AULM/BW02 41;autry;basket;SS26;2;100;White/Green
;Medalist Low;AULM/BW02 42;autry;basket;SS26;2;100;White/Green
;Medalist Low;AULM/BW02 43;autry;basket;SS26;2;100;White/Green
;Medalist Low;AULM/BW04 41;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/BW04 42;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/BW04 43;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/BW04 44;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/LS12 41;autry;basket;SS26;2;100;White/Beige/Blue
;Medalist Low;AULM/LS12 42;autry;basket;SS26;2;100;White/Beige/Blue
;Medalist Low;AULM/LS12 43;autry;basket;SS26;2;100;White/Beige/Blue
;Medalist Low;AULM/LS12 44;autry;basket;SS26;2;100;White/Beige/Blue
;Medalist Low;AULM/LS14 42;autry;basket;SS26;2;100;White/Beige/Silver
;Medalist Low;AULM/LS14 43;autry;basket;SS26;2;100;White/Beige/Silver
;Medalist Low;AULM/LS21 40;autry;basket;SS26;2;100;White/Beige/Black
;Medalist Low;AULM/LS21 41;autry;basket;SS26;2;100;White/Beige/Black
;Medalist Low;AULM/LS21 42;autry;basket;SS26;2;100;White/Beige/Black
;Medalist Low;AULM/LS21 43;autry;basket;SS26;2;100;White/Beige/Black
;Medalist Low;AULM/LS21 44;autry;basket;SS26;2;100;White/Beige/Black
;Medalist Low;AULM/LS23/2 39;autry;basket;SS26;2;100;White/Beige/Green
;Medalist Low;AULM/LS23/2 40;autry;basket;SS26;2;100;White/Beige/Green
;Medalist Low;AULM/LS23/2 41;autry;basket;SS26;2;100;White/Beige/Green
;Medalist Low;AULM/LS23/2 42;autry;basket;SS26;2;100;White/Beige/Green
;Medalist Low;AULM/LS23/2 43;autry;basket;SS26;2;100;White/Beige/Green
;Medalist Low;AULM/LS23/2 44;autry;basket;SS26;2;100;White/Beige/Green
;Medalist Low;AULM/LS23/2 45;autry;basket;SS26;2;100;White/Beige/Green
;Medalist Low;AULM/TS29 39;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/TS29 41;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/TS29 42;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/TS29 43;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/TS29 44;autry;basket;SS26;2;100;White/Beige/Navy
;Medalist Low;AULM/TS29 45;autry;basket;SS26;2;100;White/Beige/Navy
;Super Vintage Low;AVLM/KH01 42;autry;basket;SS26;2;100;Black/White
;Super Vintage Low;AVLM/KH01 43;autry;basket;SS26;2;100;Black/White
