name;reference;brand;category;collection;stock;price;color
Boston BS;BOSTON/660463 38;birkenstock;sabots;SS26;1;160;Mocca
Boston BS;BOSTON/660463 39;birkenstock;sabots;SS26;1;160;Mocca
Boston BS;BOSTON/660463 40;birkenstock;sabots;SS26;1;160;Mocca
Boston BS;BOSTON/660463 41;birkenstock;sabots;SS26;1;160;Mocca
Boston BS;BOSTON/660463 42;birkenstock;sabots;SS26;1;160;Mocca
Boston BS;BOSTON/660463 43;birkenstock;sabots;SS26;1;160;Mocca
Boston BS;BOSTON/660473 38;birkenstock;sabots;SS26;1;160;Black
Boston BS;BOSTON/660473 39;birkenstock;sabots;SS26;1;160;Black
Boston BS;BOSTON/660473 40;birkenstock;sabots;SS26;1;160;Black
Boston BS;BOSTON/660473 41;birkenstock;sabots;SS26;1;160;Black
Boston BS;BOSTON/660473 42;birkenstock;sabots;SS26;1;160;Black
Boston BS;BOSTON/660473 43;birkenstock;sabots;SS26;1;160;Black
Boston BS;BOSTON/660473 44;birkenstock;sabots;SS26;1;160;Black
Boston BS;BOSTON/1025844 43;birkenstock;sabots;SS26;1;150;Faded Khaki
Boston BS;BOSTON/1030883 36;birkenstock;sabots;SS26;1;150;Sandcastle
Boston BS;BOSTON/1030883 37;birkenstock;sabots;SS26;1;150;Sandcastle
Boston BS;BOSTON/1030883 38;birkenstock;sabots;SS26;1;150;Sandcastle
Boston BS;BOSTON/1030883 39;birkenstock;sabots;SS26;1;150;Sandcastle
Boston BS;BOSTON/1030883 40;birkenstock;sabots;SS26;1;150;Sandcastle
Boston BS;BOSTON/1030883 41;birkenstock;sabots;SS26;1;150;Sandcastle
Loma;LOMA/1031652 40;birkenstock;sabots;SS26;1;150;Charcoal
Loma;LOMA/1031652 41;birkenstock;sabots;SS26;1;150;Charcoal
Loma;LOMA/1031652 43;birkenstock;sabots;SS26;1;150;Charcoal
Naples Wrapped;NAPLES/1029710 41;birkenstock;mocassin;SS26;1;160;Taupe
Naples Wrapped;NAPLES/1029710 42;birkenstock;mocassin;SS26;1;160;Taupe
Naples Wrapped;NAPLES/1029710 43;birkenstock;mocassin;SS26;1;160;Taupe
Naples Wrapped;NAPLES/1029710 44;birkenstock;mocassin;SS26;1;160;Taupe
Naples Wrapped;NAPLES/1029710 45;birkenstock;mocassin;SS26;1;160;Taupe
Arizona BS;ARIZONA/951303 37;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951303 38;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951303 39;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951303 40;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951303 41;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951303 42;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951303 43;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951303 44;birkenstock;sandales;SS26;1;130;Taupe
Arizona BS;ARIZONA/951313 38;birkenstock;sandales;SS26;1;130;Mocca
Arizona BS;ARIZONA/951313 39;birkenstock;sandales;SS26;1;130;Mocca
Arizona BS;ARIZONA/951313 40;birkenstock;sandales;SS26;1;130;Mocca
Arizona BS;ARIZONA/951313 41;birkenstock;sandales;SS26;1;130;Mocca
Arizona BS;ARIZONA/951313 42;birkenstock;sandales;SS26;1;130;Mocca
Arizona BS;ARIZONA/951313 43;birkenstock;sandales;SS26;1;130;Mocca
Arizona BS;ARIZONA/951313 44;birkenstock;sandales;SS26;1;130;Mocca
Arizona BS;ARIZONA/151183 37;birkenstock;sandales;SS26;1;100;Mocca
Arizona BS;ARIZONA/151183 38;birkenstock;sandales;SS26;1;100;Mocca
Arizona BS;ARIZONA/151183 39;birkenstock;sandales;SS26;1;100;Mocca
Arizon;ARIZON/1009527 37;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 38;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 39;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 40;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 41;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 42;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 43;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 44;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009527 45;birkenstock;sandales;SS26;1;130;Mink
Arizon;ARIZON/1009921 38;birkenstock;sandales;SS26;1;100;Graceful Pearl White
Arizon;ARIZON/1009921 39;birkenstock;sandales;SS26;1;100;Graceful Pearl White
Arizon;ARIZON/1009921 40;birkenstock;sandales;SS26;1;100;Graceful Pearl White
Arizon;ARIZON/1011073 36;birkenstock;sandales;SS26;1;150;Cognac
Arizon;ARIZON/1011073 37;birkenstock;sandales;SS26;1;150;Cognac
Arizon;ARIZON/1011073 38;birkenstock;sandales;SS26;1;150;Cognac
Arizon;ARIZON/1011073 39;birkenstock;sandales;SS26;1;150;Cognac
