cod_article;name;reference;brand;category;collection;stock;price;color;sku
5 001 35923;Hologram Striped Short Sleeve Shirt;AR00066/PINK L;hologram;chemise;SS26;1;100;Pink;AR00066/PINK L
5 001 35922;Hologram Striped Short Sleeve Shirt;AR00066/PINK M;hologram;chemise;SS26;2;100;Pink;AR00066/PINK M
5 001 35921;Hologram Striped Short Sleeve Shirt;AR00066/PINK S;hologram;chemise;SS26;2;100;Pink;AR00066/PINK S
5 001 35920;Hologram Striped Short Sleeve Shirt;AR00066/PINK XS;hologram;chemise;SS26;1;100;Pink;AR00066/PINK XS
5 001 35933;Hologram Striped Short Sleeve Shirt;AR00665/NAVY L;hologram;chemise;SS26;1;100;Navy;AR00665/NAVY L
5 001 35932;Hologram Striped Short Sleeve Shirt;AR00665/NAVY M;hologram;chemise;SS26;2;100;Navy;AR00665/NAVY M
5 001 35931;Hologram Striped Short Sleeve Shirt;AR00665/NAVY S;hologram;chemise;SS26;2;100;Navy;AR00665/NAVY S
5 001 35930;Hologram Striped Short Sleeve Shirt;AR00665/NAVY XS;hologram;chemise;SS26;1;100;Navy;AR00665/NAVY XS
5 007 55178;Hologram La Maison Creative T-Shirt;AR00677/BLUE L;hologram;t-shirt;SS26;3;65;Blue;AR00677/BLUE L
5 007 55177;Hologram La Maison Creative T-Shirt;AR00677/BLUE M;hologram;t-shirt;SS26;4;65;Blue;AR00677/BLUE M
5 007 55176;Hologram La Maison Creative T-Shirt;AR00677/BLUE S;hologram;t-shirt;SS26;4;65;Blue;AR00677/BLUE S
5 007 55179;Hologram La Maison Creative T-Shirt;AR00677/BLUE XL;hologram;t-shirt;SS26;2;65;Blue;AR00677/BLUE XL
5 007 55175;Hologram La Maison Creative T-Shirt;AR00677/BLUE XS;hologram;t-shirt;SS26;3;65;Blue;AR00677/BLUE XS
5 007 55169;Hologram SS26 Collection T-Shirt;AR00681/WHITE L;hologram;t-shirt;SS26;2;65;White;AR00681/WHITE L
5 007 55168;Hologram SS26 Collection T-Shirt;AR00681/WHITE M;hologram;t-shirt;SS26;3;65;White;AR00681/WHITE M
5 007 55167;Hologram SS26 Collection T-Shirt;AR00681/WHITE S;hologram;t-shirt;SS26;4;65;White;AR00681/WHITE S
5 007 55170;Hologram SS26 Collection T-Shirt;AR00681/WHITE XL;hologram;t-shirt;SS26;2;65;White;AR00681/WHITE XL
5 007 55166;Hologram SS26 Collection T-Shirt;AR00681/WHITE XS;hologram;t-shirt;SS26;3;65;White;AR00681/WHITE XS
5 007 55214;Hologram Lemon Print T-Shirt;AR00682/BLACK L;hologram;t-shirt;SS26;3;65;Black;AR00682/BLACK L
5 007 55213;Hologram Lemon Print T-Shirt;AR00682/BLACK M;hologram;t-shirt;SS26;4;65;Black;AR00682/BLACK M
5 007 55212;Hologram Lemon Print T-Shirt;AR00682/BLACK S;hologram;t-shirt;SS26;3;65;Black;AR00682/BLACK S
5 007 55215;Hologram Lemon Print T-Shirt;AR00682/BLACK XL;hologram;t-shirt;SS26;2;65;Black;AR00682/BLACK XL
5 007 55211;Hologram Lemon Print T-Shirt;AR00682/BLACK XS;hologram;t-shirt;SS26;3;65;Black;AR00682/BLACK XS
5 007 55205;Hologram Lemon Print T-Shirt;AR00683/WHITE L;hologram;t-shirt;SS26;2;65;White;AR00683/WHITE L
5 007 55204;Hologram Lemon Print T-Shirt;AR00683/WHITE M;hologram;t-shirt;SS26;3;65;White;AR00683/WHITE M
5 007 55203;Hologram Lemon Print T-Shirt;AR00683/WHITE S;hologram;t-shirt;SS26;3;65;White;AR00683/WHITE S
5 007 55206;Hologram Lemon Print T-Shirt;AR00683/WHITE XL;hologram;t-shirt;SS26;2;65;White;AR00683/WHITE XL
5 007 55202;Hologram Lemon Print T-Shirt;AR00683/WHITE XS;hologram;t-shirt;SS26;2;65;White;AR00683/WHITE XS
5 007 55196;Hologram Logo T-Shirt;AR00685/WHITE L;hologram;t-shirt;SS26;3;65;White;AR00685/WHITE L
5 007 55195;Hologram Logo T-Shirt;AR00685/WHITE M;hologram;t-shirt;SS26;3;65;White;AR00685/WHITE M
5 007 55197;Hologram Logo T-Shirt;AR00685/WHITE XL;hologram;t-shirt;SS26;2;65;White;AR00685/WHITE XL
5 007 55193;Hologram Logo T-Shirt;AR00685/WHITE XS;hologram;t-shirt;SS26;3;65;White;AR00685/WHITE XS
5 007 55187;Hologram La Maison Creative T-Shirt;AR00679/PINK L;hologram;t-shirt;SS26;2;65;Pink;AR00679/PINK L
5 007 55186;Hologram La Maison Creative T-Shirt;AR00679/PINK M;hologram;t-shirt;SS26;4;65;Pink;AR00679/PINK M
5 007 55185;Hologram La Maison Creative T-Shirt;AR00679/PINK S;hologram;t-shirt;SS26;4;65;Pink;AR00679/PINK S
5 007 55188;Hologram La Maison Creative T-Shirt;AR00679/PINK XL;hologram;t-shirt;SS26;2;65;Pink;AR00679/PINK XL
5 007 55184;Hologram La Maison Creative T-Shirt;AR00679/PINK XS;hologram;t-shirt;SS26;3;65;Pink;AR00679/PINK XS
