cod_article;name;reference;description;brand;category;collection;stock;price;color;materials
;Be Right Back Knit;BERIGHT/BLACK 38;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/BLACK 39;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/BLACK 40;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/BLACK 41;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/BLACK 42;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/BLACK 43;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/BLACK 44;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/BLACK 45;Baskets Be Right Back en maille technique bicolore noir et gris argent. Logo flèches réfléchissant sur le côté, laçage rapide à stoppeur et semelle sculptée crantée.;off-white;basket;SS26;1;395;Black/Silver;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Net;BERIGHT/COBA 39;Baskets Be Right Back en mesh filet multicolore rouge, bleu cobalt et blanc. Superpositions synthétiques dynamiques, logo flèches contrasté et semelle crantée bleue.;off-white;basket;SS26;1;549;Fiery Red/Cobalt Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Net;BERIGHT/COBA 40;Baskets Be Right Back en mesh filet multicolore rouge, bleu cobalt et blanc. Superpositions synthétiques dynamiques, logo flèches contrasté et semelle crantée bleue.;off-white;basket;SS26;1;549;Fiery Red/Cobalt Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Net;BERIGHT/COBA 41;Baskets Be Right Back en mesh filet multicolore rouge, bleu cobalt et blanc. Superpositions synthétiques dynamiques, logo flèches contrasté et semelle crantée bleue.;off-white;basket;SS26;1;549;Fiery Red/Cobalt Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Net;BERIGHT/COBA 42;Baskets Be Right Back en mesh filet multicolore rouge, bleu cobalt et blanc. Superpositions synthétiques dynamiques, logo flèches contrasté et semelle crantée bleue.;off-white;basket;SS26;1;549;Fiery Red/Cobalt Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Net;BERIGHT/COBA 43;Baskets Be Right Back en mesh filet multicolore rouge, bleu cobalt et blanc. Superpositions synthétiques dynamiques, logo flèches contrasté et semelle crantée bleue.;off-white;basket;SS26;1;549;Fiery Red/Cobalt Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/CYAN 38;Baskets Be Right Back mesh gris et bleu ciel. Empiècements synthétiques blancs superposés, logo flèches emblématique et languette rayée au talon. Semelle volumineuse à picots crème.;off-white;basket;SS26;1;489;Light Grey/Cyan Celeste;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/CYAN 39;Baskets Be Right Back mesh gris et bleu ciel. Empiècements synthétiques blancs superposés, logo flèches emblématique et languette rayée au talon. Semelle volumineuse à picots crème.;off-white;basket;SS26;1;489;Light Grey/Cyan Celeste;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/CYAN 40;Baskets Be Right Back mesh gris et bleu ciel. Empiècements synthétiques blancs superposés, logo flèches emblématique et languette rayée au talon. Semelle volumineuse à picots crème.;off-white;basket;SS26;1;489;Light Grey/Cyan Celeste;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/CYAN 41;Baskets Be Right Back mesh gris et bleu ciel. Empiècements synthétiques blancs superposés, logo flèches emblématique et languette rayée au talon. Semelle volumineuse à picots crème.;off-white;basket;SS26;1;489;Light Grey/Cyan Celeste;Mesh and synthetic upper, textile lining, rubber outsole
